time,data/763/norm1
110489,0.21018097
110539,0.21018097
110589,0.21018097
110639,0.21018097
110689,0.21015045
110739,0.21015045
110789,0.21015045
110839,0.21015045
110889,0.21015045
110939,0.21015045
110989,0.21015045
111039,0.21015045
111089,0.2100589
111139,0.2100589
111189,0.2100589
111239,0.2100589
111289,0.21002838
111339,0.21002838
111389,0.21002838
111439,0.21002838
111490,0.20990631
111539,0.20990631
111589,0.20990631
111639,0.20990631
111689,0.20987579
111739,0.20987579
111789,0.20987579
111839,0.20987579
111889,0.20987579
111939,0.20987579
111989,0.20987579
112039,0.20987579
112089,0.20978424
112139,0.20978424
112189,0.20978424
112239,0.20978424
112289,0.20975372
112339,0.20975372
112389,0.20975372
112439,0.20975372
112489,0.20975372
112539,0.20975372
112589,0.20975372
112639,0.20975372
112689,0.2097232
112739,0.2097232
112789,0.2097232
112839,0.2097232
112889,0.2097232
112939,0.2097232
112989,0.2097232
113039,0.2097232
113089,0.2097232
113139,0.20969267
113189,0.20969267
113239,0.20969267
113289,0.20969267
113339,0.20963164
113389,0.20963164
113439,0.20963164
113489,0.20963164
113539,0.20963164
113589,0.20963164
113639,0.20963164
113689,0.20963164
113739,0.2095706
113789,0.2095706
113839,0.2095706
113889,0.2095706
113939,0.20950957
113989,0.20950957
114039,0.20950957
114089,0.20950957
114139,0.20950957
114189,0.20950957
114239,0.20950957
114289,0.20950957
114340,0.20944853
114389,0.20944853
114440,0.20944853
114489,0.20944853
114539,0.20941801
114589,0.20941801
114639,0.20941801
114689,0.20941801
114739,0.20935698
114789,0.20935698
114839,0.20935698
114889,0.20935698
114939,0.20935698
114989,0.20935698
115039,0.20935698
115089,0.20935698
115139,0.20935698
115188,0.20935698
115238,0.20935698
115288,0.20935698
115338,0.20935698
115388,0.20929594
115438,0.20929594
115488,0.20929594
115538,0.20929594
115588,0.20926543
115638,0.20926543
115688,0.20926543
115738,0.20926543
115788,0.20923491
115838,0.20920438
115888,0.20920438
115938,0.20920438
115988,0.20923491
116038,0.20923491
116088,0.20923491
116139,0.20923491
116189,0.20917386
116239,0.20917386
116289,0.20917386
116339,0.20917386
116389,0.20917386
116439,0.20917386
116493,0.20917386
116542,0.20917386
116590,0.20914334
116639,0.20914334
116689,0.20914334
116739,0.20914334
116789,0.20911282
116839,0.20911282
116889,0.20911282
116939,0.20911282
116989,0.2090823
117039,0.2090823
117089,0.2090823
117139,0.2090823
117189,0.2090823
117239,0.2090823
117289,0.2090823
117339,0.2090823
117389,0.2090823
117439,0.20905179
117489,0.20905179
117539,0.20902127
117589,0.20902127
117639,0.20902127
117689,0.20902127
117739,0.20902127
117789,0.20902127
117839,0.20899075
117889,0.20899075
117939,0.20899075
117989,0.20899075
118039,0.20892972
118089,0.20892972
118139,0.20892972
118189,0.20892972
118239,0.20896024
118289,0.20896024
118339,0.20896024
118389,0.20896024
118439,0.20886868
118489,0.20886868
118539,0.20886868
118588,0.20886868
118639,0.20874661
118690,0.20874661
118739,0.20874661
118790,0.20874661
118839,0.20874661
118889,0.20874661
118939,0.20874661
118989,0.20874661
119039,0.20868556
119089,0.20868556
119139,0.20868556
119189,0.20868556
119240,0.20868556
119289,0.20865504
119339,0.20865504
119389,0.20865504
119439,0.20865504
119489,0.20862453
119539,0.20862453
119589,0.20862453
119639,0.20862453
119689,0.20859401
119739,0.20859401
119789,0.20859401
119839,0.20859401
119889,0.20856349
119939,0.20856349
119989,0.20856349
120039,0.20856349
120089,0.20856349
120139,0.20856349
120189,0.20856349
120239,0.20856349
120289,0.20853297
120339,0.20853297
120389,0.20853297
120439,0.20853297
120489,0.20850246
120539,0.20850246
120589,0.20850246
120639,0.20850246
120689,0.20850246
120739,0.20850246
120789,0.20850246
120839,0.20850246
120889,0.20844142
120939,0.20844142
120989,0.20844142
121039,0.20844142
121089,0.2084109
121139,0.2084109
121189,0.2084109
121239,0.2084109
121289,0.2084109
121339,0.2084109
121389,0.2084109
121439,0.2084109
121489,0.2084109
121539,0.20838039
121589,0.20838039
121639,0.20838039
121689,0.20838039
121740,0.20831935
121789,0.20831935
121838,0.20831935
121889,0.20831935
121939,0.20831935
121989,0.20831935
122039,0.20831935
122089,0.20831935
122139,0.20825832
122189,0.20825832
122239,0.20825832
122289,0.20825832
122339,0.20819727
122389,0.20819727
122439,0.20819727
122489,0.20819727
122539,0.20819727
122589,0.20819727
122639,0.20819727
122689,0.20819727
122739,0.20816675
122789,0.20816675
122839,0.20816675
122889,0.20816675
122939,0.20813623
122989,0.20813623
123039,0.20813623
123089,0.20813623
123139,0.20816675
123189,0.20816675
123239,0.20816675
123289,0.20816675
123339,0.20810571
123389,0.20810571
123439,0.20810571
123489,0.20810571
123539,0.20810571
123589,0.20810571
123639,0.20810571
123689,0.20810571
123739,0.20810571
123789,0.2080752
123839,0.2080752
123889,0.2080752
123940,0.2080752
123989,0.20804468
124039,0.20804468
124089,0.20804468
124139,0.20804468
124189,0.20804468
124239,0.20804468
124289,0.20804468
124339,0.20804468
124389,0.20804468
124439,0.20804468
124489,0.20804468
124539,0.20804468
124589,0.20798364
124639,0.20798364
124689,0.20798364
124739,0.20798364
124789,0.20792261
124839,0.20792261
124889,0.20792261
124939,0.20792261
124989,0.20795313
125039,0.20795313
125089,0.20795313
125139,0.20795313
125189,0.20789209
125239,0.20789209
125289,0.20789209
125339,0.20789209
125389,0.20786157
125439,0.20786157
125489,0.20786157
125539,0.20786157
125589,0.20789209
125639,0.20783105
125689,0.20783105
125739,0.20783105
125791,0.20783105
125839,0.20783105
125889,0.20783105
125940,0.20783105
125990,0.20783105
126039,0.20780054
126089,0.20780054
126139,0.20780054
126189,0.20780054
126239,0.20773949
126289,0.20773949
126339,0.20773949
126389,0.20773949
126439,0.20773949
126489,0.20773949
126539,0.20773949
126589,0.20773949
126639,0.20773949
126689,0.20773949
126739,0.20773949
126789,0.20773949
126839,0.20770897
126889,0.20770897
126939,0.20770897
126989,0.20770897
