time,data/763/norm1,data/1433/norm1
186686,0.26944792,0.0071718497
186736,0.26944792,0.0071718497
186786,0.2694174,0.0071718497
186836,0.2694174,0.0071718497
186886,0.2694174,0.0071718497
186936,0.2694174,0.0071718497
186986,0.26932585,0.0072634052
187036,0.26932585,0.0072634052
187086,0.26932585,0.0072634052
187136,0.26932585,0.0072634052
187186,0.26929533,0.0072328867
187236,0.26929533,0.0072328867
187286,0.26929533,0.0072328867
187338,0.26929533,0.0072328867
187387,0.26926482,0.0073244423
187437,0.26926482,0.0073244423
187487,0.26926482,0.0073244423
187535,0.26926482,0.0073244423
187586,0.2692343,0.0073244423
187637,0.2692343,0.0073244423
187686,0.2692343,0.0073244423
187736,0.2692343,0.0073244423
187786,0.2692343,0.007354961
187836,0.26917326,0.007415998
187886,0.26917326,0.007415998
187936,0.26917326,0.007415998
187986,0.26917326,0.007415998
188036,0.26911223,0.0073854793
188086,0.26911223,0.0073854793
188136,0.26911223,0.0073854793
188186,0.26911223,0.0073854793
188236,0.2690817,0.007477035
188285,0.2690817,0.007477035
188336,0.2690817,0.007477035
188386,0.2690817,0.007477035
188436,0.26899013,0.0074465163
188486,0.26899013,0.0074465163
188536,0.26899013,0.0074465163
188586,0.26899013,0.007538072
188636,0.2689291,0.0074465163
188686,0.2689291,0.0075075533
188736,0.2689291,0.0075075533
188786,0.2689291,0.0075075533
188836,0.2689596,0.0075075533
188886,0.2689596,0.0075075533
188936,0.2689596,0.0075075533
188986,0.2689596,0.0075075533
189036,0.26889858,0.0075685903
189086,0.26889858,0.0075685903
189136,0.26889858,0.0075685903
189186,0.26889858,0.0075685903
189236,0.26883754,0.007599109
189286,0.26883754,0.007599109
189336,0.26883754,0.007599109
189386,0.26883754,0.007599109
189436,0.2687765,0.007538072
189486,0.2687765,0.007538072
189536,0.2687765,0.007538072
189586,0.2687765,0.007538072
189636,0.26871547,0.007660146
189686,0.26871547,0.007660146
189736,0.26871547,0.007660146
189786,0.26871547,0.007660146
189836,0.26871547,0.007660146
189886,0.26871547,0.0076296274
189936,0.26871547,0.0076296274
189986,0.26871547,0.0076296274
190036,0.26871547,0.0076296274
190086,0.26862392,0.007721183
190136,0.26862392,0.007721183
190186,0.26862392,0.007721183
190236,0.26862392,0.007721183
190286,0.2685934,0.007660146
190336,0.2685934,0.007660146
190386,0.2685934,0.007660146
190436,0.2685934,0.007660146
190486,0.26853237,0.007721183
190536,0.26853237,0.0077517014
190586,0.26850185,0.0077517014
190636,0.26850185,0.007721183
190686,0.26850185,0.007721183
190736,0.26850185,0.007721183
190786,0.26850185,0.007721183
190836,0.26850185,0.007721183
190886,0.2684408,0.00778222
190936,0.2684408,0.00778222
190986,0.2684408,0.00778222
191036,0.2684408,0.00778222
191086,0.2684103,0.0077517014
191136,0.2684103,0.0077517014
